epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
62,390.145,1.52906,0.68636,0.00245,0.97389,0.85901,0.92484,0.59007,1.42668,0.62653,0.00296,0.0013961,0.0013961,0.0013961
63,395.942,1.48497,0.65118,0.00235,0.97847,0.86513,0.92566,0.59998,1.39773,0.61529,0.00296,0.0013862,0.0013862,0.0013862
64,401.736,1.50032,0.61954,0.00222,0.93414,0.8865,0.92454,0.57416,1.40874,0.59128,0.00297,0.0013763,0.0013763,0.0013763
65,407.522,1.41428,0.61924,0.00222,0.97282,0.86842,0.92768,0.5876,1.44875,0.55377,0.00302,0.0013664,0.0013664,0.0013664
66,413.311,1.43198,0.58374,0.00208,0.96267,0.86184,0.92697,0.57653,1.43511,0.57732,0.00298,0.0013565,0.0013565,0.0013565
67,419.087,1.45698,0.57725,0.00222,0.98122,0.85934,0.91473,0.59254,1.36287,0.52607,0.00288,0.0013466,0.0013466,0.0013466
68,424.902,1.49842,0.64262,0.00215,0.95724,0.88373,0.9252,0.61051,1.33894,0.51864,0.0028,0.0013367,0.0013367,0.0013367
69,430.69,1.49522,0.60114,0.00213,0.94692,0.88029,0.92894,0.56805,1.5223,0.5942,0.00336,0.0013268,0.0013268,0.0013268
70,436.472,1.40635,0.57698,0.00222,0.96078,0.8865,0.92111,0.57539,1.49203,0.5448,0.00307,0.0013169,0.0013169,0.0013169
71,442.359,1.46841,0.58839,0.00211,0.96489,0.86842,0.9375,0.58806,1.50916,0.60881,0.00319,0.001307,0.001307,0.001307
72,449.808,1.44773,0.61004,0.00216,0.96702,0.86805,0.91256,0.5331,1.64607,0.59305,0.00341,0.0012971,0.0012971,0.0012971
73,455.596,1.45863,0.59622,0.00227,0.97757,0.8601,0.91863,0.58713,1.39459,0.59423,0.00289,0.0012872,0.0012872,0.0012872
74,461.446,1.46056,0.60665,0.00218,0.95122,0.875,0.91596,0.62065,1.32808,0.57809,0.0028,0.0012773,0.0012773,0.0012773
75,469.037,1.44768,0.61099,0.00208,0.97514,0.85526,0.9163,0.59581,1.38768,0.57576,0.00289,0.0012674,0.0012674,0.0012674
76,474.805,1.4768,0.57782,0.00206,0.98165,0.87971,0.9316,0.60988,1.36749,0.57027,0.00293,0.0012575,0.0012575,0.0012575
77,480.593,1.48096,0.65007,0.00226,0.9738,0.85855,0.91761,0.51485,1.61664,0.58553,0.0035,0.0012476,0.0012476,0.0012476
78,486.463,1.43814,0.60911,0.0022,0.9639,0.87834,0.92379,0.55747,1.53535,0.58585,0.00321,0.0012377,0.0012377,0.0012377
