epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,265.977,1.34067,0.81207,0.90271,0.93063,0.8656,0.86919,0.49587,1.31202,0.76253,0.92557,0.000643795,0.000643795,0.000643795
126,268.104,1.31942,0.82662,0.90108,0.89996,0.83871,0.862,0.52938,1.24535,0.76276,0.91873,0.000635544,0.000635544,0.000635544
127,270.146,1.22406,0.76094,0.88414,0.92413,0.85484,0.87983,0.52872,1.24607,0.76225,0.92006,0.000627292,0.000627292,0.000627292
128,272.278,1.49404,0.85306,0.93005,0.8714,0.87433,0.8765,0.5281,1.24858,0.76675,0.92529,0.00061904,0.00061904,0.00061904
129,274.334,1.3982,0.85291,0.94296,0.8714,0.87433,0.8765,0.5281,1.24858,0.76675,0.92529,0.000610789,0.000610789,0.000610789
130,276.449,1.32668,0.79606,0.90359,0.87884,0.81899,0.82067,0.49676,1.28075,0.76864,0.93418,0.000602537,0.000602537,0.000602537
131,278.5,1.3446,0.78348,0.91806,0.87553,0.80645,0.82365,0.48957,1.27849,0.76801,0.93288,0.000594286,0.000594286,0.000594286
132,280.646,1.28661,0.74527,0.88899,0.88292,0.85151,0.86411,0.51639,1.24695,0.78136,0.92104,0.000586034,0.000586034,0.000586034
133,282.758,1.34064,0.78009,0.9044,0.88292,0.85151,0.86411,0.51639,1.24695,0.78136,0.92104,0.000577782,0.000577782,0.000577782
134,284.961,1.43867,0.77953,0.90133,0.90979,0.85484,0.88564,0.51653,1.26894,0.78719,0.91775,0.000569531,0.000569531,0.000569531
135,287.086,1.49358,0.86214,0.94712,0.9135,0.83871,0.8757,0.50459,1.2928,0.79031,0.91978,0.000561279,0.000561279,0.000561279
136,289.277,1.42709,0.79966,0.92601,0.89639,0.82258,0.86209,0.5194,1.23187,0.7746,0.91342,0.000553027,0.000553027,0.000553027
137,291.261,1.29042,0.79659,0.88989,0.89639,0.82258,0.86209,0.5194,1.23187,0.7746,0.91342,0.000544776,0.000544776,0.000544776
138,293.517,1.36366,0.83276,0.93139,0.89604,0.85484,0.87741,0.53576,1.20244,0.75785,0.90458,0.000536524,0.000536524,0.000536524
139,295.676,1.40179,0.77813,0.89918,0.89972,0.86833,0.87844,0.51883,1.24324,0.77187,0.90772,0.000528272,0.000528272,0.000528272
140,297.861,1.24808,0.73159,0.90581,0.88476,0.86684,0.87704,0.5387,1.2265,0.77764,0.90536,0.000520021,0.000520021,0.000520021
141,299.812,1.3418,0.76626,0.91006,0.88476,0.86684,0.87704,0.5387,1.2265,0.77764,0.90536,0.000511769,0.000511769,0.000511769
142,301.831,1.35401,0.78505,0.90187,0.95099,0.80645,0.88138,0.55586,1.2016,0.75593,0.90265,0.000503517,0.000503517,0.000503517
143,303.941,1.23311,0.75766,0.90779,0.93014,0.80645,0.87378,0.54063,1.20892,0.75174,0.90196,0.000495266,0.000495266,0.000495266
144,306.045,1.42455,0.80928,0.92704,0.92642,0.80645,0.86812,0.52908,1.21392,0.76106,0.90291,0.000487014,0.000487014,0.000487014
145,308.118,1.3672,0.8149,0.93297,0.92642,0.80645,0.86812,0.52908,1.21392,0.76106,0.90291,0.000478762,0.000478762,0.000478762
146,310.154,1.35543,0.77798,0.88684,0.93808,0.80645,0.86743,0.52952,1.22014,0.76258,0.90544,0.000470511,0.000470511,0.000470511
147,312.454,1.30219,0.76722,0.89174,0.9402,0.80645,0.86536,0.52859,1.23737,0.773,0.91085,0.000462259,0.000462259,0.000462259
148,315.014,1.28606,0.72533,0.90605,0.9407,0.80645,0.86914,0.531,1.25495,0.77864,0.9157,0.000454007,0.000454007,0.000454007
149,317.078,1.26818,0.76285,0.86803,0.9407,0.80645,0.86914,0.531,1.25495,0.77864,0.9157,0.000445756,0.000445756,0.000445756
150,319.533,1.29065,0.76339,0.90449,0.93146,0.80645,0.86683,0.52754,1.24284,0.769,0.91537,0.000437504,0.000437504,0.000437504
151,321.703,1.38606,0.766,0.91085,0.89765,0.84878,0.87039,0.5272,1.21977,0.74752,0.91054,0.000429253,0.000429253,0.000429253
152,323.993,1.20998,0.70591,0.89842,0.91259,0.87097,0.88899,0.53706,1.24013,0.7479,0.91209,0.000421001,0.000421001,0.000421001
153,326.082,1.23596,0.71775,0.89212,0.91259,0.87097,0.88899,0.53706,1.24013,0.7479,0.91209,0.000412749,0.000412749,0.000412749
154,328.567,1.33983,0.74995,0.88993,0.91373,0.85413,0.87111,0.5118,1.27095,0.74496,0.91496,0.000404498,0.000404498,0.000404498
155,330.97,1.39161,0.78557,0.88557,0.93084,0.86839,0.8772,0.51639,1.24128,0.74602,0.91143,0.000396246,0.000396246,0.000396246
156,333.317,1.29247,0.73923,0.90149,0.94728,0.86946,0.88899,0.53328,1.17859,0.72313,0.90296,0.000387994,0.000387994,0.000387994
157,335.37,1.30129,0.77879,0.90978,0.94728,0.86946,0.88899,0.53328,1.17859,0.72313,0.90296,0.000379743,0.000379743,0.000379743
158,337.695,1.2761,0.72884,0.90176,0.94732,0.87018,0.89101,0.53594,1.17367,0.73256,0.89873,0.000371491,0.000371491,0.000371491
159,340.157,1.3735,0.81443,0.91706,0.94731,0.86994,0.89268,0.52516,1.20152,0.74226,0.90074,0.000363239,0.000363239,0.000363239
160,342.515,1.19928,0.72274,0.87873,0.92797,0.85484,0.87493,0.51998,1.21287,0.74276,0.90074,0.000354988,0.000354988,0.000354988
161,344.54,1.2739,0.74345,0.90861,0.92797,0.85484,0.87493,0.51998,1.21287,0.74276,0.90074,0.000346736,0.000346736,0.000346736
162,346.777,1.25383,0.73439,0.8937,0.91127,0.85484,0.86751,0.51048,1.22966,0.7478,0.90192,0.000338484,0.000338484,0.000338484
163,348.897,1.18544,0.70564,0.89119,0.91009,0.85484,0.86682,0.50529,1.22998,0.73336,0.9031,0.000330233,0.000330233,0.000330233
164,351.144,1.30578,0.75677,0.91232,0.89816,0.85484,0.86719,0.5304,1.20466,0.71769,0.90082,0.000321981,0.000321981,0.000321981
165,353.001,1.21456,0.7152,0.88455,0.89816,0.85484,0.86719,0.5304,1.20466,0.71769,0.90082,0.000313729,0.000313729,0.000313729
166,355.298,1.28431,0.76108,0.89183,0.8907,0.85484,0.88203,0.54462,1.16532,0.70867,0.89376,0.000305478,0.000305478,0.000305478
167,357.58,1.29392,0.75128,0.8791,0.93301,0.80645,0.8741,0.54646,1.16958,0.705,0.89382,0.000297226,0.000297226,0.000297226
168,359.862,1.31925,0.73994,0.88698,0.93067,0.80645,0.86556,0.53768,1.18737,0.70417,0.89672,0.000288974,0.000288974,0.000288974
169,361.956,1.36878,0.757,0.91687,0.93067,0.80645,0.86556,0.53768,1.18737,0.70417,0.89672,0.000280723,0.000280723,0.000280723
170,364.259,1.11475,0.68251,0.88266,0.93585,0.80645,0.863,0.52305,1.20969,0.70471,0.90083,0.000272471,0.000272471,0.000272471
171,366.577,1.2314,0.70864,0.89747,0.92567,0.80348,0.84277,0.50467,1.271,0.72971,0.90942,0.00026422,0.00026422,0.00026422
172,368.674,1.2404,0.70325,0.88975,0.92185,0.80645,0.84441,0.49393,1.30217,0.74088,0.91462,0.000255968,0.000255968,0.000255968
173,370.724,1.26884,0.70805,0.88261,0.92185,0.80645,0.84441,0.49393,1.30217,0.74088,0.91462,0.000247716,0.000247716,0.000247716
174,372.98,1.31429,0.72942,0.8955,0.89127,0.83871,0.84693,0.48796,1.28831,0.74668,0.91363,0.000239465,0.000239465,0.000239465
175,375.126,1.27006,0.70598,0.88272,0.95712,0.83871,0.88761,0.50028,1.25766,0.74361,0.90927,0.000231213,0.000231213,0.000231213
176,377.244,1.14118,0.69565,0.89727,0.95757,0.83871,0.89319,0.51196,1.22472,0.74364,0.90547,0.000222961,0.000222961,0.000222961
177,379.259,1.26402,0.70706,0.89096,0.95757,0.83871,0.89319,0.51196,1.22472,0.74364,0.90547,0.00021471,0.00021471,0.00021471
178,381.475,1.26431,0.73975,0.89043,0.95729,0.83871,0.89351,0.52929,1.21097,0.7351,0.90234,0.000206458,0.000206458,0.000206458
179,383.717,1.26326,0.70079,0.90054,0.95583,0.83871,0.89222,0.52988,1.21512,0.72793,0.90196,0.000198206,0.000198206,0.000198206
180,385.912,1.2428,0.70778,0.87931,0.95433,0.83871,0.89397,0.53348,1.22437,0.72063,0.90273,0.000189955,0.000189955,0.000189955
181,387.952,1.21317,0.70999,0.89963,0.95433,0.83871,0.89397,0.53348,1.22437,0.72063,0.90273,0.000181703,0.000181703,0.000181703
182,390.215,1.24402,0.72295,0.8797,0.9539,0.83871,0.89452,0.51477,1.2573,0.72891,0.90741,0.000173451,0.000173451,0.000173451
183,392.424,1.26998,0.72408,0.87875,0.95418,0.83871,0.89495,0.51633,1.27977,0.73285,0.90872,0.0001652,0.0001652,0.0001652
